poi_name,category,source_keyword,address,distance,lat,lng,telephone,pet_friendly_status,confidence_level,evidence_source,evidence_text,suitable_pet_size,space_type,crowd_level,pet_stress_level,risk_note,transaction_action,route_role
木小馆家庭厨房(新街口店),美食;中餐厅,新街口 餐厅,江苏省南京市秦淮区王府大街113号,43,32.041709,118.784491,18705142727,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
蟹叁寳·蟹家宴·蟹黄捞饭(南京新街口店),美食;中餐厅,新街口 餐厅,丰富路105号,264,32.041335,118.786903,17372964976,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
小厨娘淮扬菜(新街口艾尚天地旗舰店),美食;中餐厅,新街口 餐厅,"中山路132号艾尚天地B座3楼（南京德基100米,总统府500米）",1564,32.054334,118.790908,"(025)84808910,4008519797",待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
卷饭家族(新街口店),美食;外国餐厅,新街口 餐厅,三元巷1号711隔壁,577,32.040984,118.7902,15312053024,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
鱼娃蛙(新街口总店),美食;中餐厅,新街口 餐厅,石鼓路21号1层102室,585,32.044593,118.789127,(025)85363580,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
玉子屋·厚炸猪排(新街口店),美食;外国餐厅,新街口 餐厅,新街口丰富路111号斤也屋,266,32.041483,118.786924,17608248925,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
火山屋台(新街口店),美食;外国餐厅,新街口 餐厅,金銮巷华盈国际大厦1层,773,32.042754,118.792171,"17366369870,17372764464",待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
南京新街口饭店,酒店,新街口 餐厅,丰富路203号 (与石鼓路交汇路口),506,32.044508,118.788129,(025)84211003,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
Alimentari Grande意大利餐吧&披萨(南京新街口店),美食;外国餐厅,新街口 餐厅,石鼓路49号1-4,533,32.045628,118.78699,025-85893387,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
滨寿司(新街口中央商场店),美食;外国餐厅,新街口 餐厅,中山南路79号中央商场F7层,806,32.044641,118.791811,(025)86883369,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,室内/商场,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00；室内区域是否允许携宠需确认,出发前确认,候选节点
马厂老火锅(新街口店),美食;中餐厅,新街口 餐厅,淮海路50号（星巴克金銮巷店斜对面二楼）,745,32.042796,118.791862,13357836862,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
鱼酷活鱼烤鱼(南京新街口新百店),美食;中餐厅,新街口 餐厅,中山南路1号新百A座八楼（近新街口地铁站9号、10号、12号地铁口）,902,32.046992,118.791143,15855001691,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
龙虾馆·烤鱼·烧烤(新街口店),美食;中餐厅,新街口 餐厅,石鼓路39号（喜鼎火锅同边）,552,32.045247,118.787952,13145126287,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
潮粤客茶点(王府大街店),美食;中餐厅,新街口 餐厅,王府大街139号-5,96,32.04068,118.783761,17512945641,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
付小姐在成都(新街口店),美食;中餐厅,新街口 餐厅,户部街29号力联大厦西楼1层,1101,32.041362,118.795785,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
江苏饭店(南京新街口常府街地铁站店)-北门,出入口;门,新街口 餐厅,南京市秦淮区太平南路305号,1464,32.038502,118.799235,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
新百美食城(南京新百店),美食;其他,新街口 餐厅,中山南路1号南京新百B1层(新街口地铁站10号口旁),918,32.047358,118.790958,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
亚朵酒店中餐厅,美食;中餐厅,新街口 餐厅,江苏省南京市秦淮区朝天宫街道秣陵路99号（亚朵酒店旁）,168,32.043008,118.78394,(025)86887888,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
民国往事海派餐厅(新街口新百店),美食;中餐厅,新街口 餐厅,中山南路新街口新百A座8楼美食汇,917,32.047287,118.791044,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
东方名苑南侧停车场,交通设施;停车场,新街口 餐厅,南京市秦淮区丰富路口俞家巷后45号新街口饭店,519,32.04452,118.7883,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
麦当劳(南京洪武店),美食;小吃快餐店,新街口 小吃,洪武路119号,1061,32.045001,118.79458,(025)66043945,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
麦当劳(南京明瓦廊店),美食;小吃快餐店,新街口 小吃,明瓦廊路133号,631,32.044137,118.790035,(025)84465155,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
金原老鸭粉丝汤(新街口店),美食;小吃快餐店,新街口 小吃,淮海新村1幢101-301室,1039,32.043278,118.794928,13770798846,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
美亦粥(明瓦廊店),美食;小吃快餐店,新街口 小吃,明瓦廊105号（新街口易记皮肚面馆旁边）,525,32.042844,118.78945,15062289004,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
必胜客(南京金融中心店),美食;小吃快餐店,新街口 小吃,江苏省南京市秦淮区汉中路1号南京国际金融中心负一楼D6商铺,800,32.046966,118.789621,(025)82227387,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
老娘舅(天元大厦店),美食;小吃快餐店,新街口 小吃,新街口洪武路396号,1011,32.0359,118.792551,025-52642955,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
焦记太平洋面馆(相府营店),美食;小吃快餐店,新街口 小吃,相府营6号-西单元-103室,1672,32.052324,118.796414,13372018133,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
老新隆牛肉锅贴(新街口店),美食;小吃快餐店,新街口 小吃,石鼓路25号,584,32.044631,118.789078,(025)83377677,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
潮粥馆(长江花园店),美食;小吃快餐店,新街口 小吃,长江路长江花园10-11号（近估衣廊）,1556,32.053266,118.79304,13675100271,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
香酥味鸡蛋汉堡(新街口店),美食;小吃快餐店,新街口 小吃,正洪街一禾广场沿街门店,933,32.045645,118.792711,15850522791,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
一哥卷饼(新街口店),美食;小吃快餐店,新街口 小吃,洪武路50号,1008,32.045587,118.793651,13913908671,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
卞记米线(双井巷店),美食;小吃快餐店,新街口 小吃,新街口街道成贤街双井巷沙塘园7号-3(玄武区法院对面),2368,32.057052,118.801266,13813973686,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
馨罗冷面拌饭(珠江路店),美食;小吃快餐店,新街口 小吃,新街口街道珠江路199-1号（珠江路地铁站4号口步行420米）,1949,32.056295,118.795192,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
米德宝家庭快餐(网巾市店),美食;小吃快餐店,新街口 小吃,网巾市9号01层（金盛百货）,1621,32.051524,118.796602,(025)86269177,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
正宗麻团乌饭,美食;小吃快餐店,新街口 小吃,石鼓路33号环亚广场(新街口店)底商F1,573,32.044612,118.788957,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
黄锦记锅贴小吃快餐(新街口店),美食;小吃快餐店,新街口 小吃,鱼市街57号,2013,32.057794,118.793427,18061461198,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
麦当劳(中山大厦店),美食;小吃快餐店,新街口 小吃,珠江路2-5号,1785,32.056331,118.791356,(025)83359770,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
大宝麻辣烫(红庙小区店),美食;小吃快餐店,新街口 小吃,新街口街道珠江路红庙(如意不夜城旁),1872,32.053849,118.797603,13951989776,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
老奶奶臭豆腐干(大纱帽巷38号大院店),美食;小吃快餐店,新街口 小吃,大纱帽巷与将军巷交界处,2165,32.056198,118.799168,17712357808,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
小粉桥猪蹄(小粉桥店),美食;小吃快餐店,新街口 小吃,小粉桥3-3,1848,32.057447,118.789645,18761688309,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
仲氏米线(天创大厦店),美食;小吃快餐店,新街口 小吃,新街口街道丹凤街17-1号(近大石桥街),2181,32.059437,118.79347,13776684775,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
七家湾牛肉锅贴(东南大学店),美食;小吃快餐店,新街口 小吃,成贤街103-8号,2510,32.058291,118.801901,4001385517,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
回味鸭血粉丝汤(珠江路店),美食;小吃快餐店,新街口 小吃,新街口街道珠江路48-1号新月大厦一层沿街商铺(近全福楼、博艺快印),1840,32.056128,118.793234,(025)83414775,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
全福面馆(相府营店),美食;小吃快餐店,新街口 小吃,相府营16号102室,1797,32.053023,118.79748,"13951655799,18912969973",待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
台北古今快餐(成贤街店),美食;小吃快餐店,新街口 小吃,成贤街57号-18,2455,32.057651,118.801866,13505157919,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
一三六面馆(进香河店),美食;小吃快餐店,新街口 小吃,进香河路进香河集贸市场南门3号,2136,32.057447,118.796744,18136655121,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
回味鸭血粉丝汤(荔枝广场店),美食;小吃快餐店,新街口 小吃,新街口街道北京东路4号荔枝广场2楼,2605,32.064002,118.791829,13952021310,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,小型犬/中型犬,开放空间,中,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,散步/休息节点
七家湾牛肉锅贴(丹凤街店),美食;小吃快餐店,新街口 小吃,丹凤街33号,2347,32.061197,118.793074,13913827994,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
非常小吃(银海大厦店),美食;小吃快餐店,新街口 小吃,江苏省南京市鼓楼区华侨路25号301室,1247,32.0521,118.788444,13951017917,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
大脸鸡排(珠江路店),美食;小吃快餐店,新街口 小吃,珠江路4-1,1799,32.056333,118.791745,17798552911,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
沙县小吃(碑亭巷店),美食;小吃快餐店,新街口 小吃,新街口街道碑亭巷148号(太平北路43号小区旁),2122,32.053576,118.801544,15960956601,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
西安特色面馆(吉兆营店),美食;小吃快餐店,新街口 小吃,同仁西街吉兆花园8号109室,2029,32.058555,118.791779,"13382014977,18005162818",待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
东南大学(四牌楼校区)香园餐厅,美食;小吃快餐店,新街口 小吃,进香河路35号东南大学四牌楼校区西区内,2488,32.061764,118.795315,18951872980,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
小巷子兰州牛肉拉面,美食;小吃快餐店,新街口 小吃,"新街口街道珠江路26号(正大鸭血粉丝汤,钟山驾校报名点和泸溪河桃酥的巷子里)",1811,32.056159,118.792478,18100616443,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
北门桥老王馄饨鸭血粉丝炒面炒饭面条花甲,美食;小吃快餐店,新街口 小吃,估衣廊长江花园1号1层1-1室,1728,32.054877,118.793443,15850599167,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
口爽鸡汤面馆(唱经楼西街店),美食;小吃快餐店,新街口 小吃,唱经楼西街1-8-2,2168,32.059457,118.79308,13915960747,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
紫菜馄饨店(唱经楼西街店),美食;小吃快餐店,新街口 小吃,唱经楼西街59号102室,2200,32.059907,118.792675,13584097758,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
桥头排骨(鱼市街店),美食;小吃快餐店,新街口 小吃,鱼市街57号杨国福麻辣烫隔壁,2019,32.05783,118.793488,13862369175,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
鸭血粉丝汤,美食;小吃快餐店,新街口 小吃,中山路与吉兆营交叉口正东方向33米,2001,32.058519,118.791021,13951677244,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
放心油条豆浆店(吉兆营店),美食;小吃快餐店,新街口 小吃,吉兆营52号（珠江路地铁站3号口步行130米）,2016,32.058578,118.791306,18795964599,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
喵仙屋·猫咪活体售卖·猫咪洗护美容(新街口店),生活服务;宠物服务,新街口 宠物店,长白街68-3号,2000,32.044938,118.80493,,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
丢丢宠物(一枝园店),生活服务;宠物服务,新街口 宠物店,鸡鹅巷红庙一枝园20号（珠江路百脑汇对面，老如意不夜城旁边）,2014,32.05448,118.799019,13739189913,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
咪噜宠物(木马公寓店),生活服务;宠物服务,新街口 宠物店,丹凤街卫巷1号木马公寓,2110,32.058316,118.794493,"(025)86610107,13815857721",宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
噗噗宠物自助浴场(新街口店),生活服务;宠物服务,新街口 宠物店,莫愁路329号7-2号楼106室,345,32.042965,118.780862,19523118587,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
相当宠·宠物蛋糕·洗护,生活服务;宠物服务,新街口 宠物洗护,莫愁湖东路16号-6,996,32.039693,118.773742,15001301030,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
微橘宠物生活(五福街店),生活服务;宠物服务,新街口 宠物洗护,五福街53号,1611,32.027725,118.778784,18252029279,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
MISS DENG宠物洗护沙龙·猫咪CFA猫舍,生活服务;宠物服务,新街口 宠物洗护,雅居乐花园外围商铺公园内婓石咖啡馆旁,3369,32.01611,118.803618,(025)84366399,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
喵仙屋·猫咪活体售卖·猫咪洗护美容(瑞金路店),生活服务;宠物服务,新街口 宠物洗护,瑞金路52号,3617,32.037752,118.822223,17361891006,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
58到家居家养老(新街口店),生活服务;其他,新街口 宠物洗护,江苏省南京市秦淮区明瓦廊66号一楼,512,32.041796,118.789511,13472105999,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,待确认,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
秦淮驿站(新街口商圈店),生活服务,新街口 宠物洗护,江苏省南京市秦淮区洪武路街道洪武路160号-2楼,883,32.042837,118.79333,17090120423,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,待确认,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
萌喵荟·撸猫·宠物洗护·猫咖(南京河西万达店),休闲娱乐;其他,新街口 宠物洗护,集庆门大街万达西地二街区220-31号萌喵荟,4026,32.035815,118.741913,(025)86559229,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
毛戈平(南京金鹰新街口店),购物;商铺,新街口 宠物洗护,中山南路79号中央商场1层,826,32.044785,118.791957,"(025)84709205,13776697325",宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,待确认,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
卡皮对战屋,休闲娱乐;游戏场所,新街口 宠物洗护,南京市秦淮区新街口洪武路199号长发银座b座508号,957,32.041718,118.794259,,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,待确认,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
桶装纯净水配送新街口站,生活服务;家政服务,新街口 宠物洗护,大行宫大厦旁,1538,32.047939,118.798545,,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,待确认,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
南京东洲宠物用品有限公司,公司企业;公司,新街口 宠物洗护,江苏省南京市玄武区新街口街道长江路188号德基大厦7楼D座,1585,32.050989,118.796653,(025)86816312,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
宠物店,生活服务;宠物服务,新街口 宠物洗护,中央路47-8,3345,32.071111,118.790348,,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,补给/护理节点
新街口地铁站-1口,出入口;其他,新街口 公园,,744,32.045592,118.790357,,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
新街口地铁站-3口,出入口;其他,新街口 公园,,787,32.04643,118.790105,,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
和平公园,旅游景点;公园,新街口 公园,南京市玄武区北京东路43号,3101,32.063963,118.803606,,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,小型犬/中型犬,开放空间,中,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,散步/休息节点
